"ID","Question","choice_1","choice_2","choice_3","choice_4","answer"
"6","What is the maximum number of half-pint bottles of cream that can be filled with a 4-gallon can of cream(2 pt.=1 qt. and 4 qt.=1 gal)
","16","24","30","64","D"
"9","There are 200 questions on a 3 hr examination.Among these questions are 50 mathematics problems.It is suggested that twice as much time be spent on each maths problem as for each other question.How many minutes should be spent on mathematics problems","36","72","60","100","B"
"13","In june a baseball team that played 60 games had won 30% of its game played. After a phenomenal winning streak this team raised its average to 50% .How many games must the team have won in a row to attain this average?","12","20","24","30","C"
"15","A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?","7","8","11","12","C"
"16","2 hours after a freight train leaves Delhi a passenger train leaves the same station travelling in the same direction at an average speed of 16 km/hr. After travelling 4 hrs the passenger train overtakes the freight train. The average speed of the freight train was?","30","40","58","60","B"
"40","Which of the following fractions is less than 1/3","22/62","15/46","2/3","1","B"
"42","Three types of tea the a,b,c costs Rs. 95/kg,100/kg and70/kg respectively.How many kgs of each should be blended to produce 100 kg of mixture worth Rs.90/kg, given that the quntities of band c are equal","70,15,15","50,25,25","60,20,20","40,30,30","B"
"43","In a class, except 18 all are above 50 years.15 are below 50 years of age. How many people are there","30","33","36","None of these","D"
"44","If a boat is moving in upstream with velocity of 14 km/hr and goes downstream with a velocity of 40 km/hr, then what is the speed of the stream ?","13 km/hr","26 km/hr","34 km/hr","None of these","A"
"45","Find the value of ( 0.75 * 0.75 * 0.75 - 0.001 ) / ( 0.75 * 0.75 - 0.075 + 0.01)","0.845","1.908","2.312","0.001","A"
"46","A can have a piece of work done in 8 days, B can work three times faster than the A, C can work five times faster than A. How many days will they take to do the work together ?","3 days","8/9 days","4 days","can't say","B"
"47","A car travels a certain distance taking 7 hrs in forward journey, during the return journey increased speed 12km/hr takes the times 5 hrs. What is the distance travelled","210 kms","30 kms","20 kms","None of these","B"
"49","Find (7x + 4y ) / (x-2y) if x/2y = 3/2 ?","6","8","7","insufficient data","C"
"53","If on an item a company gives 25% discount, they earn 25% profit. If they now give 10% discount then what is the profit percentage.","40%","55%","35%","30%","D"
"54","A certain number of men can finish a piece of work in 10 days. If however there were 10 men less it will take 10 days more for the work to be finished. How many men were there originally?","110 men","130 men","100 men","None of these","A"
"56","If a sum of money compound annually amounts of thrice itself in 3 years. In how many years will it become 9 times itself.","6","8","10","12","A"
"57","Two trains move in the same direction at 50 kmph and 32 kmph respectively. A man in the slower train observes the 15 seconds elapse before the faster train completely passes by him. What is the length of faster train ?","100 m","75 m","120 m","50 m","B"
